,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,0.9809075294812549,[1.34812791],0.617,0.31450000000000006,0.126,0.04400000000000001,0.012,0.6905635832782829,0.40750903240758374,0.20218831168961704,0.07899562777203355,0.025223263989680576
1,2,0.9828867290109745,[1.19740222],0.6082500000000001,0.3172499999999999,0.13324999999999998,0.042000000000000016,0.011750000000000002,0.6666731535587718,0.38236746191082843,0.18011682899214318,0.060535762794333245,0.015476693273226613
2,3,0.96708380340186,[1.04159509],0.61425,0.3125,0.12675,0.041250000000000016,0.011000000000000001,0.6466954588663154,0.3477078416514548,0.14365841792678619,0.043730834048362574,0.008422870086894633
3,4,1.0245783257367425,[1.07263349],0.6205,0.32025000000000003,0.13875,0.04950000000000001,0.016500000000000004,0.6451901248426714,0.34624389740466294,0.14668295347246932,0.05114717264211407,0.013309464083216833
4,5,1.0117994271190338,[1.00671113],0.6327499999999999,0.32275,0.13874999999999998,0.04300000000000002,0.012250000000000002,0.638788691163326,0.3268380210055276,0.1324242631200006,0.04253065074246165,0.011323148686096256
5,6,0.9738472018092871,[0.88597062],0.6159999999999999,0.30999999999999994,0.12874999999999998,0.04150000000000002,0.010000000000000004,0.6081623704880937,0.2940082738449486,0.11445068530942468,0.02841116705585022,0.004558770042127211
6,7,0.9717060077815143,[0.90654403],0.602,0.3095,0.1285,0.04525000000000001,0.012500000000000002,0.6031170809579761,0.3029963929511968,0.11245883949106945,0.03504534563717929,0.007256805889544533
7,8,0.9996839793872822,[0.88866278],0.6215,0.32375,0.13674999999999998,0.04450000000000001,0.01,0.6101310154717727,0.2981886034435565,0.11272573449555305,0.029485493532439684,0.005791954939794604
8,9,1.0150322763001784,[0.89910551],0.6254999999999998,0.32850000000000007,0.13899999999999998,0.04450000000000001,0.011250000000000003,0.604103472165944,0.29239361056509294,0.11229941241296956,0.034393372742611394,0.007821293678954956
9,10,1.017255014369924,[0.87539521],0.6192500000000001,0.322,0.1385,0.04775,0.0115,0.595101744324759,0.282331983491248,0.10583617633263956,0.033152084050007746,0.009101983191892352
10,11,1.0011191643443704,[0.84069175],0.61275,0.3135,0.13175000000000003,0.04950000000000002,0.012250000000000002,0.5851848712247769,0.2737097785990382,0.0994585641354478,0.03097811749749917,0.0071660319981667496
11,12,0.9801556626844089,[0.84114222],0.6125,0.31399999999999995,0.12975,0.04325000000000001,0.01175,0.5863912778090079,0.2748862031310216,0.09953950627133035,0.028811555270673618,0.008049006634213282
12,13,1.000468470319578,[0.81786306],0.6209999999999999,0.3175,0.13374999999999998,0.04400000000000002,0.014500000000000002,0.58823356549679,0.26135687655192963,0.09294951443902716,0.028639591421621497,0.008011990174462654
13,14,0.9938678571303289,[0.82690087],0.6100000000000001,0.31649999999999995,0.128,0.04950000000000002,0.013500000000000002,0.5692182664555133,0.27420761394943116,0.10113722997406863,0.029045343255672262,0.005232656133518021
14,15,1.0009694641969389,[0.80214148],0.62,0.31600000000000006,0.13225,0.0455,0.015000000000000003,0.5803644761851492,0.2616228855424882,0.09382747380101894,0.02735181668202718,0.0052524344038668664
15,16,1.0058851764036727,[0.81147086],0.6242500000000001,0.31725,0.13925,0.04675000000000002,0.011250000000000003,0.5747089165233431,0.2643408468402542,0.09343925506191142,0.02724590233015082,0.007385514055310227
16,17,0.9885784005510825,[0.81048791],0.61475,0.30725,0.12825000000000003,0.04775000000000001,0.014750000000000003,0.5674310648134355,0.26322932949637023,0.09973498663916651,0.02851647109735094,0.005485507830315355
17,18,1.0196508432340445,[0.84291874],0.617,0.32025000000000003,0.14125000000000001,0.04750000000000001,0.013499999999999998,0.5803361808033833,0.2724967523361127,0.10377192147053382,0.029417681106882372,0.007872966525410776
18,19,1.007055724675333,[0.78343267],0.6205,0.3185,0.135,0.046000000000000006,0.013500000000000002,0.5704649020218192,0.2559325970536787,0.09132407291071262,0.02571208624508603,0.004585128419861353
19,20,0.9828571973186232,[0.78133675],0.6297499999999999,0.31,0.12450000000000001,0.04000000000000001,0.013000000000000003,0.5766343255780105,0.25544810163278264,0.08786859940337216,0.024781435791903818,0.005871508398892651
20,21,0.9672127973692488,[0.76840863],0.6182500000000001,0.305,0.12900000000000003,0.040250000000000015,0.011,0.5781619007635218,0.2546091288096122,0.0851492082507727,0.020471923395786722,0.00463666796633092
21,22,1.0109975329881444,[0.81478521],0.6134999999999999,0.3195,0.139,0.04450000000000002,0.014249999999999999,0.5784046300756571,0.2654433462952955,0.09840768016536705,0.026181085080840032,0.006056816235267529
22,23,1.0056180280146876,[0.8011966],0.6210000000000001,0.319,0.13374999999999998,0.046000000000000006,0.0125,0.5751165775648656,0.26149501774528316,0.0918920999722784,0.027529342085059298,0.005958358265838565
23,24,1.0074558093522201,[0.77455719],0.6127499999999999,0.31599999999999995,0.13325000000000004,0.04850000000000001,0.0115,0.5694870794621731,0.25584059230178474,0.0900942915678746,0.023429090972196046,0.004290831135074387
24,25,0.9982077553202077,[0.82321404],0.6187499999999999,0.3185,0.127,0.04350000000000001,0.015500000000000003,0.5784284794294821,0.2612175800133646,0.09488131806156963,0.030290997332745356,0.008958787947828449
25,26,1.0607691023492638,[0.81507391],0.63575,0.33975,0.14150000000000001,0.052750000000000005,0.013250000000000003,0.5731369688727082,0.2658755415428188,0.09536217827550188,0.02879742594364405,0.00603702921903321
26,27,1.009931265505419,[0.83194042],0.6172499999999999,0.325,0.14450000000000002,0.04375000000000002,0.012500000000000002,0.5824998162176815,0.26822551641047615,0.10143057003066988,0.028290117817563677,0.00754974628889365
27,28,0.9570095939447775,[0.76185981],0.60375,0.31599999999999995,0.12999999999999998,0.03600000000000001,0.009750000000000002,0.5703588182347445,0.251284369355598,0.08312058933069029,0.022316785721966232,0.005839298397540253
28,29,0.978881122529082,[0.81711051],0.62425,0.31024999999999997,0.12975,0.040500000000000015,0.0115,0.5769524568747364,0.2693468554310734,0.09636347432190652,0.02625489382295661,0.006940140369527418
29,30,1.018931553836207,[0.85219057],0.6210000000000001,0.33025,0.13550000000000004,0.04525000000000001,0.012250000000000006,0.5841776688732147,0.28168474894173,0.10641920837000181,0.029491601507774117,0.006077826060617573
30,31,1.028745168768822,[0.86624507],0.62725,0.3295,0.135,0.04750000000000002,0.0125,0.5898921471784083,0.2814595889842636,0.10471354663334809,0.031991659449067594,0.008496735416744072
31,32,0.9725899131729623,[0.81533064],0.6122500000000001,0.31074999999999997,0.13075000000000003,0.04350000000000001,0.011,0.5762924138268223,0.26672728433615345,0.09356714790710849,0.026968608264154214,0.0067631664020672624
32,33,1.0377987580312424,[0.84992002],0.62425,0.32025000000000003,0.14350000000000004,0.05050000000000001,0.014250000000000004,0.5868243848486389,0.27411630777335516,0.10436836552964175,0.03153957202104804,0.0066017449519824856
33,34,1.0182703617972169,[0.85100826],0.625,0.3235,0.1385,0.048000000000000015,0.011250000000000001,0.5834889631288147,0.2768351950656194,0.10305842427756118,0.03264228048731623,0.006952758506822125
34,35,1.0176557117309626,[0.82405454],0.63,0.3232499999999999,0.1305,0.04500000000000002,0.014750000000000003,0.5857033068194222,0.270883703404916,0.09639566215567175,0.026500102885676648,0.00693341015327374
35,36,1.0103654084862095,[0.84320093],0.62075,0.31825000000000003,0.13275,0.04950000000000001,0.012,0.586625360514824,0.27352506522742287,0.10157030882919771,0.032196045716217175,0.005423615971736681
36,37,0.994786929957719,[0.84194156],0.6162500000000001,0.3132500000000001,0.13625000000000004,0.042000000000000016,0.013500000000000003,0.5817477751283031,0.27224930967682826,0.10468617594855045,0.029069772821076378,0.00794231956910347
37,38,1.001633598895474,[0.82561545],0.6195000000000002,0.3245,0.13325000000000004,0.04800000000000002,0.011750000000000002,0.5798457921656521,0.2672751039891672,0.0979977093237812,0.028487930949462153,0.005941971582382191
38,39,0.9849657759376479,[0.84912175],0.6165,0.31575,0.13474999999999998,0.04325000000000002,0.0095,0.5805529942123357,0.2717057609200172,0.1023486823150856,0.031741641983222345,0.007027766153347088
39,40,1.018592416414068,[0.86918037],0.6212500000000001,0.32475,0.137,0.04725,0.014250000000000004,0.5921611601457214,0.2825214554535613,0.10753029694259494,0.03170123843063784,0.007156698257873876
40,41,0.9876120429127792,[0.8650228],0.6142500000000001,0.32300000000000006,0.13175,0.044000000000000004,0.011750000000000002,0.5951671077015355,0.27859977349875936,0.10460685715046396,0.03205984261598945,0.008109535729463298
41,42,1.0121067941951754,[0.86794159],0.6195,0.3187500000000001,0.13200000000000003,0.05225,0.014000000000000002,0.5844091168444414,0.27942095467469497,0.10714041325053462,0.0340811304584098,0.008609565672247022
42,43,0.9716625187435428,[0.85093067],0.6165,0.313,0.13000000000000006,0.042000000000000016,0.011500000000000002,0.591000073774482,0.27615213916904124,0.09959636905492955,0.02900127384985939,0.008266104756238565
43,44,1.0421746618000114,[0.89054896],0.6224999999999999,0.334,0.13825000000000004,0.049500000000000016,0.013250000000000001,0.595207576540002,0.2846108419505356,0.10757168255148838,0.035291916244214225,0.010447074671279592
44,45,1.0214003250097539,[0.8911076],0.6300000000000001,0.3247499999999999,0.13825,0.04750000000000001,0.012250000000000002,0.5900308448923701,0.28482396276117533,0.11186390640070198,0.03625627298720794,0.008760463092996811
45,46,0.9703479432342647,[0.87237383],0.611,0.30250000000000005,0.13099999999999998,0.03950000000000001,0.01125,0.5881501069860614,0.28406336931165516,0.10920841236379882,0.03341517930046493,0.0068897978599509494
46,47,0.9806290723915122,[0.86279066],0.6104999999999998,0.31375000000000003,0.13225,0.039750000000000014,0.009250000000000003,0.592675566869661,0.28570043128203026,0.10750570609562701,0.028153317825061246,0.0058221405230929535
47,48,0.9700997669277109,[0.89450175],0.6217500000000001,0.3125,0.12575,0.04025000000000002,0.013249999999999998,0.5919398140674249,0.2846549906173871,0.11073465492324508,0.03624084415673075,0.01075729601448512
48,49,0.9747595545653986,[0.88378117],0.6057499999999999,0.30874999999999997,0.12925,0.04625000000000001,0.011500000000000003,0.5889472504439672,0.2880038376879882,0.11434542119254307,0.034309265389456854,0.006819980741128676
49,50,0.9370207236635035,[0.84567402],0.6049999999999999,0.3057500000000001,0.11625,0.03750000000000001,0.011000000000000001,0.5796739498883292,0.27151336237753265,0.10550974642011371,0.030648533495477064,0.007575991021197199
50,51,0.9772248773921645,[0.87525037],0.6125,0.3092499999999999,0.13075,0.041750000000000016,0.012000000000000004,0.5938210354937736,0.2850887769361529,0.10543499085928591,0.03314116570040851,0.00868282877738353
51,52,0.9824544073494419,[0.90638807],0.6122500000000002,0.315,0.127,0.041250000000000016,0.012250000000000002,0.6063594849356132,0.2971543096893357,0.1153769679097627,0.03375742362172469,0.007077054236769282
52,53,0.9771194864537218,[0.88864949],0.61275,0.30649999999999994,0.13224999999999998,0.042749999999999996,0.01025,0.5990121181382977,0.29093082226769784,0.11390377607125515,0.03208289040998558,0.006796083074546449
53,54,1.0160266202273185,[0.93312642],0.617,0.31899999999999995,0.13775,0.04525000000000001,0.015500000000000003,0.6100683654828185,0.30138675058569575,0.11953679901565657,0.039080445543242415,0.00916537949006448
54,55,0.985923342130253,[0.89778163],0.61125,0.30775,0.12674999999999997,0.04350000000000001,0.013750000000000002,0.5945771862968053,0.29417327871930077,0.11439077164452978,0.0337409980677854,0.007780657027019057
55,56,0.9849974686784672,[0.88227842],0.61425,0.31575000000000003,0.13,0.04525,0.010000000000000002,0.5988020537890624,0.28776834969098875,0.10970561997374435,0.033914499376991106,0.006376003685593991
56,57,0.9871727798565656,[0.90949509],0.61125,0.3085,0.13075,0.04575,0.009749999999999998,0.5988797226448929,0.2918676265799317,0.11393400939857608,0.036358464287398154,0.009922425628269487
57,58,0.9660250600525156,[0.92242423],0.6024999999999999,0.314,0.1295,0.03950000000000001,0.007750000000000002,0.6082767520731429,0.3028740690784466,0.11831752508635973,0.0358755624883886,0.007731519408440077
