,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,1.0279887882930052,[1.72100932],0.6157500000000001,0.3256875,0.140375,0.049875,0.013500000000000003,0.6992973165068183,0.45683431035886046,0.267028364813029,0.13394923314280707,0.05135442417165683
1,2,0.9924462681908178,[1.59861505],0.6121875,0.31425,0.13037500000000005,0.04412499999999999,0.012375000000000004,0.704023439063518,0.45219994380592377,0.25652713969126395,0.11523815925994647,0.03848061006473043
2,3,1.0048260392718684,[1.47493512],0.61025,0.3153125,0.1369375,0.04693750000000001,0.012125000000000006,0.6970902347519656,0.44014192740401475,0.24196947272503863,0.09953612558264364,0.025557544489646856
3,4,0.9925796422960251,[1.4257555],0.6169374999999999,0.317875,0.12968749999999998,0.045875,0.012125,0.6958630521358944,0.4310147627578325,0.227167790484932,0.09608689393782681,0.022669594472150827
4,5,0.9885750918405698,[1.30585438],0.6146874999999999,0.31375,0.13112500000000002,0.04524999999999999,0.012125000000000006,0.6836049805658121,0.41054816760850416,0.2013931477815123,0.07505466414021378,0.019539182582449476
5,6,1.0016254758715044,[1.30939854],0.6108749999999998,0.31606249999999997,0.13387500000000002,0.046,0.013500000000000003,0.6738113750037926,0.40452075759053174,0.20321242995580474,0.0766706647704332,0.021119551591909064
6,7,0.9906341581446331,[1.26844807],0.61625,0.311625,0.1333125,0.045750000000000006,0.011000000000000005,0.6740406884074537,0.39652750282379123,0.19495051507165834,0.07261884610756406,0.01830072743217622
7,8,0.98867600882291,[1.17924914],0.618875,0.31325000000000003,0.1316875,0.0445,0.012312500000000004,0.6695540399220057,0.3819117705739067,0.1771709323261414,0.05847067620748875,0.013424778002265983
8,9,1.0138834688785892,[1.21091046],0.6221874999999999,0.3191875,0.1368125,0.046875,0.012937500000000001,0.663593200605313,0.3761404281731391,0.17806151213048502,0.06457001579644985,0.018657924489765373
9,10,1.0064697902846895,[1.16652365],0.6194375,0.3181875,0.13375000000000004,0.0466875,0.012625000000000003,0.6581947550793501,0.37011762349573074,0.17188149085729099,0.0609032375594322,0.013769490098959761
10,11,0.9845230522064975,[1.13263104],0.6118750000000001,0.31256249999999997,0.12975,0.0465,0.012375000000000004,0.6505121454984429,0.364978333654567,0.16379387617815871,0.055336510924319106,0.013693002207916697
11,12,1.001133822550131,[1.08797078],0.61575,0.32025000000000003,0.1333125,0.04481249999999999,0.011750000000000002,0.6503714999976817,0.3564486217839162,0.15173790625820632,0.050965380045067676,0.01145371369927828
12,13,1.0089348575662833,[1.08222854],0.619375,0.31687499999999996,0.134,0.04656250000000001,0.013875000000000002,0.6481453946523699,0.35112511035745503,0.1484343064260137,0.050122474582429875,0.012411142643218692
13,14,0.9768044595083518,[1.06594491],0.6086874999999999,0.30831250000000004,0.12818749999999998,0.044250000000000005,0.012125000000000002,0.6488083146253638,0.34765322625022926,0.14898040350103084,0.046756735160851104,0.01056382679257807
14,15,0.9988273424828945,[1.06878294],0.6151875000000002,0.3207499999999999,0.13337500000000002,0.04562499999999999,0.010687500000000004,0.6427134205265667,0.3465604371062677,0.14713272019957416,0.047865906434215136,0.01249414133490537
15,16,0.9978676286817407,[1.02743812],0.6197500000000001,0.31862499999999994,0.12962500000000002,0.045875000000000006,0.013937500000000002,0.6388501210771944,0.342476165750183,0.1402036626622669,0.04318991089358949,0.009536906591097979
16,17,1.001535726327048,[1.01870086],0.6228125,0.31875000000000003,0.13381249999999997,0.04581249999999999,0.012500000000000002,0.6395443021180385,0.3352630180520907,0.13708436773543736,0.043059927040215676,0.009998648660020582
17,18,0.997597595475812,[1.01528667],0.6193124999999998,0.3151250000000001,0.13299999999999998,0.04506249999999999,0.011375000000000001,0.6374097450457219,0.33284890459938465,0.13698513610818927,0.04277610701774706,0.009482655795502747
18,19,0.9926519398906996,[0.99328633],0.6156874999999999,0.3175625,0.131875,0.044937500000000005,0.012375000000000002,0.62834250673268,0.32668994594473955,0.133736379710653,0.04022742710552367,0.010158547997245351
19,20,1.0055028412730493,[1.02560763],0.6160000000000002,0.317875,0.1303125,0.0466875,0.013562500000000005,0.6268947994641477,0.32838538826344776,0.1366672997759547,0.046217282820171304,0.013002113076100247
20,21,0.9790320369168107,[0.95478516],0.6138124999999999,0.31074999999999997,0.12974999999999998,0.04293750000000001,0.011812500000000002,0.6132427210786437,0.31052039993353564,0.12321111832238048,0.03800057794788901,0.01061897216233092
21,22,0.994624559400101,[0.96957485],0.620625,0.3160625,0.1329375,0.0441875,0.012062500000000006,0.6285382113619877,0.3188811805041196,0.12425243269078223,0.038097696370468295,0.009711029512633607
22,23,1.0044416408808272,[0.97100447],0.6156250000000001,0.31775,0.13456249999999997,0.0441875,0.012937500000000001,0.6214984561974332,0.31858428065960254,0.12532628279983474,0.03807180966883039,0.010162844527662095
23,24,1.0113348325445148,[0.96244058],0.6160000000000001,0.3154374999999999,0.13387500000000002,0.048312499999999994,0.014500000000000004,0.6199039030961606,0.31154285302640783,0.12451579546492093,0.040803402719662415,0.009905383603581442
24,25,1.0067796364224244,[0.9665957],0.6143124999999999,0.32112499999999994,0.134375,0.04743750000000001,0.012000000000000004,0.6128250828393138,0.3133685801729587,0.12840231017336906,0.04093323478155636,0.009624176098491232
25,26,1.012879159944714,[0.96914834],0.6194375,0.31925,0.1376875,0.04687500000000001,0.013312500000000001,0.6216842518380237,0.3205116847550074,0.12910078522311447,0.03862212630901822,0.008712707088064781
26,27,0.9862835356186773,[0.90729662],0.6107499999999999,0.310125,0.13156250000000003,0.04662500000000001,0.012625000000000003,0.6012075354881469,0.29729234342945954,0.11575527630032664,0.03480917029294287,0.008134619131696007
27,28,0.9773957295880982,[0.9095293],0.6155625,0.3132499999999999,0.128625,0.0409375,0.011000000000000001,0.6099545227516237,0.3009328529804094,0.11458220439479509,0.032629019280595355,0.007285220566742512
28,29,1.0219022587248918,[0.95070559],0.6222499999999999,0.32218749999999996,0.1375,0.0479375,0.013250000000000003,0.6172380355557214,0.31022339167311935,0.12357580123428154,0.03812437314904188,0.009141481534016551
29,30,1.0031047759720848,[0.92355945],0.6174999999999999,0.32118750000000007,0.1324375,0.044812500000000005,0.0125625,0.6122146926528417,0.30076551155474895,0.11712153530050792,0.035179288603551795,0.00903754605623951
30,31,0.9830712689210948,[0.87733696],0.6127499999999999,0.31425000000000003,0.1290625,0.043625000000000004,0.012187500000000002,0.599393816986771,0.29135580920861476,0.10854412488908842,0.029696624993233195,0.007101162773634519
31,32,1.0055480927748817,[0.8997177],0.6133124999999999,0.3193125,0.1351875,0.04625,0.012062500000000002,0.5988233244947211,0.29281782820599056,0.11371627394913067,0.03440790868135421,0.00817622524785171
32,33,1.0053903301124705,[0.9052895],0.6195,0.3169375000000001,0.13475,0.044687500000000005,0.013875000000000004,0.6027854862398658,0.29483942734283464,0.11311898179419141,0.03509500830158191,0.0090251500899243
33,34,0.9915521966958375,[0.85864671],0.61675,0.3129375,0.13299999999999998,0.0441875,0.012500000000000002,0.5942285113238426,0.28279683219183405,0.10559470594409555,0.02931672617566059,0.0064682873051872865
34,35,1.0056461917346842,[0.89306346],0.6150000000000001,0.32131250000000006,0.13418750000000002,0.04731249999999999,0.012187500000000006,0.6027857559342141,0.29388548600688325,0.11176537400170647,0.031066615587736067,0.007538754858723793
35,36,1.0047652389431774,[0.90218964],0.6208125,0.3178749999999999,0.133,0.044374999999999984,0.013187500000000001,0.605900893007472,0.2904134874792269,0.11141768817657383,0.03448103716897059,0.009535925864282925
36,37,1.0151013986039743,[0.88737486],0.6215624999999999,0.3200625,0.1378125,0.0465,0.013125000000000001,0.5983262701229182,0.2895263322819022,0.11030075816630938,0.03270947645604312,0.007938048742469436
37,38,1.0066009351005651,[0.90057545],0.6157500000000001,0.31812499999999994,0.13312500000000002,0.046,0.013187500000000001,0.6007230726465045,0.2896573577595298,0.10955994725692039,0.033885362570544,0.009834198440372702
38,39,1.002080831892232,[0.86196739],0.6214999999999999,0.3194375,0.13368750000000001,0.044937500000000005,0.011937500000000005,0.6021083381499583,0.28682021508326855,0.10220411008264174,0.02928744596238659,0.006631688477969105
