,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,1.0160501191530913,[1.05510578],0.62105,0.31994999999999973,0.139,0.046150000000000004,0.0121,0.6263523768312161,0.32967576941830756,0.14682525718501807,0.0502214392737253,0.014010377921613826
1,2,1.0067814120631948,[1.01936682],0.6170500000000001,0.32105000000000006,0.13260000000000002,0.04555,0.012650000000000002,0.6188197191060314,0.32280137483758786,0.13605328700894379,0.04737852002693292,0.013019069396694423
2,3,1.0106725971276562,[0.99471449],0.6184000000000001,0.31504999999999994,0.13490000000000005,0.04680000000000001,0.013549999999999991,0.6156141620882322,0.31163281034702,0.13157851548633862,0.04521866692927544,0.012932801518120717
3,4,0.9918583682259284,[0.94130014],0.6244,0.3121500000000001,0.1319,0.04404999999999999,0.012,0.6106761073551409,0.3005138573530081,0.12166088926168188,0.038405543364333675,0.009921623685470924
4,5,1.0128089247956729,[0.94577663],0.6156499999999997,0.31914999999999993,0.13545,0.04694999999999999,0.013350000000000004,0.6024939121595595,0.302018247742167,0.1226289783015788,0.04027745098175404,0.01079497955658197
5,6,0.9866640894156287,[0.90499655],0.6121,0.31124999999999997,0.13094999999999998,0.04634999999999998,0.011850000000000001,0.5930467547228265,0.287327977109096,0.11461635214685054,0.03835182663494951,0.009405308086161569
6,7,0.9944895923605696,[0.9056435],0.6184000000000002,0.3151000000000001,0.13430000000000009,0.044599999999999994,0.011999999999999997,0.5980740466470178,0.28926977222344313,0.11337991352852551,0.0361260082827019,0.009886355020010961
7,8,0.9963516932295494,[0.88928162],0.6151499999999999,0.31590000000000007,0.13114999999999996,0.04559999999999998,0.012149999999999996,0.5935035061890295,0.2869618849614947,0.10991889431812396,0.03443083700196544,0.00887677692277573
8,9,1.013686283283694,[0.89481311],0.6169499999999999,0.31755,0.1332,0.047599999999999996,0.014849999999999992,0.5896218085765474,0.2840193217760568,0.11237254687337123,0.03647230046185461,0.009921338213016724
9,10,0.9923241138810356,[0.87132947],0.6162000000000002,0.31645,0.13479999999999998,0.04490000000000001,0.01155,0.5872033419603534,0.28022886198791375,0.10921727049936618,0.03267321829745963,0.008493066748929112
10,11,1.0107712940461295,[0.8697112],0.6172000000000003,0.32035,0.13545000000000001,0.04785000000000001,0.012749999999999997,0.5874031719898839,0.27968776993531974,0.10733202292648349,0.03379920343045534,0.008323490721287127
11,12,0.9882272973839822,[0.85324913],0.6180999999999999,0.32189999999999996,0.13174999999999998,0.042399999999999986,0.010850000000000002,0.5891955624928957,0.2814385674289613,0.10306682138091389,0.030080070378317583,0.006848120612516555
12,13,1.004517569571415,[0.86145538],0.6163999999999998,0.31420000000000003,0.13510000000000003,0.04754999999999998,0.014199999999999992,0.5847242113261653,0.2746479336554414,0.10605207606534865,0.033152422897568055,0.008622428352176931
13,14,1.0046107237327069,[0.85766931],0.61295,0.3178,0.13655,0.04655,0.012849999999999999,0.5811819142608846,0.27764295806630174,0.10618687231130298,0.03298358240145746,0.007485443707089182
14,15,0.9841090806759015,[0.83596034],0.6081999999999997,0.31789999999999996,0.1323,0.04329999999999999,0.011550000000000003,0.5790658553510163,0.2729846140789479,0.1008381029272457,0.029076325164708546,0.007130309050578055
15,16,1.0041346058214393,[0.85609774],0.6253999999999995,0.32120000000000004,0.13374999999999998,0.045700000000000005,0.012049999999999996,0.5862558133329735,0.2762817991042008,0.10514802201321198,0.031599822080036984,0.007356562870944237
16,17,0.9950158042592326,[0.83861743],0.61875,0.31655,0.13454999999999995,0.0446,0.011799999999999995,0.5796519712801159,0.27399638000671467,0.10223268261042284,0.0296952390951676,0.0070041671827877
17,18,0.9971510923417529,[0.84928388],0.6208500000000003,0.31895,0.13415,0.04474999999999998,0.011699999999999999,0.5823406770793543,0.27522794518402516,0.10448802357850581,0.03159909173593302,0.0071882596865971635
18,19,0.999682066556636,[0.84213825],0.6165000000000002,0.31895000000000007,0.1338,0.046399999999999976,0.011999999999999997,0.5804868983785173,0.27303746452869193,0.10168517601324593,0.030605712990357366,0.0072888664754762675
19,20,1.0064750069258528,[0.83958598],0.6186999999999998,0.3175,0.13379999999999997,0.0452,0.0138,0.5820798087238488,0.2714527658710317,0.09962473542054294,0.0302552015545457,0.007922169365583326
20,21,1.0004240180700237,[0.83523132],0.6176000000000001,0.31775,0.13410000000000002,0.04624999999999999,0.012349999999999998,0.5775469572465959,0.26998868469984694,0.1013937005978977,0.030267796801458573,0.006992067129942592
21,22,1.0065046267507807,[0.84325211],0.62385,0.32365,0.13315,0.04519999999999999,0.012450000000000001,0.5847181861677145,0.2728202837097321,0.10007123165190863,0.03133655012206108,0.007525802106387442
22,23,0.9994970412486404,[0.82833947],0.6177499999999998,0.31820000000000004,0.1326,0.043299999999999984,0.01244999999999999,0.5763939807496118,0.2700661263243188,0.09790032068458808,0.02769284917078281,0.007762758283492894
23,24,0.9979409329521236,[0.83560681],0.62,0.31834999999999997,0.1323,0.046449999999999984,0.011750000000000003,0.580807046623485,0.2727151704258846,0.10078359182606392,0.030271120568347524,0.006317692828792242
24,25,0.9849793821198303,[0.82131391],0.61365,0.31344999999999995,0.13199999999999998,0.043949999999999996,0.011700000000000002,0.5770625920736887,0.26714906168045727,0.0972463237468993,0.028366907223672615,0.007155646362786757
25,26,1.0023754999749346,[0.82354418],0.62235,0.3172,0.13205000000000003,0.0462,0.012300000000000004,0.5790308704036987,0.265123660308552,0.0969923870318127,0.029338461048135634,0.007138622307200806
26,27,0.9964837228474195,[0.82308141],0.6178000000000001,0.31350000000000006,0.13524999999999995,0.04605000000000001,0.01175,0.572084048272199,0.26553190868431814,0.099623194167877,0.029795091368118306,0.0069464740194534235
27,28,0.9881676985850523,[0.81350051],0.6135,0.3158499999999999,0.1302,0.043549999999999985,0.012100000000000001,0.5724931776993408,0.26197129180648276,0.09495619819709068,0.02864382770544278,0.00740631613025809
28,29,1.0011179810375674,[0.83002135],0.6168499999999999,0.31915000000000004,0.13344999999999996,0.04539999999999999,0.013149999999999995,0.5787237753455943,0.26880173772190075,0.09852955440925801,0.029715775529797504,0.007369968369062149
29,30,0.9943417328934037,[0.80511765],0.6164500000000002,0.3197500000000001,0.13190000000000004,0.0437,0.011949999999999999,0.5744905429021219,0.26194503115280815,0.09255353679838114,0.026493718419989477,0.00655170345012215
30,31,1.0078439426988632,[0.83203567],0.6164499999999999,0.3175500000000002,0.13699999999999996,0.04675,0.0127,0.5772838903763392,0.26823559639798755,0.10041443401546545,0.02922192843180662,0.007113778206311381
31,32,0.9976463827061285,[0.83488115],0.6152500000000001,0.31795,0.13324999999999998,0.04500000000000001,0.012199999999999999,0.5803077818703495,0.2681715273431868,0.0982588781849238,0.03071927642911208,0.0075632567717931086
32,33,0.991146448556985,[0.81630352],0.6170999999999996,0.31735,0.13459999999999997,0.04329999999999999,0.0116,0.5783705287194517,0.26646503294363844,0.09716720987642072,0.02761127153978983,0.006080645727238748
33,34,0.9982139483319572,[0.80850359],0.6173000000000001,0.31919999999999993,0.13235000000000008,0.04465000000000001,0.011899999999999999,0.5752386776268716,0.26418774423426433,0.09492830656293386,0.026726284514440236,0.006457048643289351
34,35,1.0059138200101831,[0.81924709],0.6229500000000001,0.32300000000000006,0.1336,0.04514999999999999,0.0115,0.5793969091175469,0.2663467466849321,0.09612221400268238,0.027798523253400594,0.006819262605398858
35,36,0.982174876051937,[0.79834633],0.6152000000000001,0.31139999999999984,0.1323,0.04479999999999999,0.011050000000000003,0.5716472780884115,0.2603145293399044,0.09494135525723756,0.026332046033499045,0.0050966805997414
36,37,0.9910833185574447,[0.81912554],0.6133500000000001,0.31844999999999984,0.1325,0.04554999999999998,0.011899999999999999,0.5742446870556727,0.26645401629100074,0.09748985163177075,0.02835487945136335,0.0064313428930967845
37,38,1.0146530990786191,[0.82363843],0.61985,0.31749999999999995,0.13634999999999997,0.04639999999999999,0.013649999999999994,0.5776593625277016,0.2666345997479912,0.09751790627549994,0.028492944373215617,0.006890614195161091
38,39,0.9958325295141812,[0.82275877],0.6162500000000002,0.31685,0.13474999999999998,0.044500000000000005,0.0121,0.5772304892592846,0.2662550660734578,0.09822622845661037,0.029303951982654706,0.006742252477729662
39,40,1.0036724568102426,[0.82368579],0.6218499999999998,0.31939999999999996,0.1325,0.044649999999999995,0.012849999999999999,0.576509318414805,0.26745877700906434,0.09680727906394214,0.028438856527173303,0.0070948499731381945
40,41,1.0074522986856083,[0.83145676],0.6185000000000003,0.3237499999999999,0.13359999999999997,0.04645,0.0126,0.575169559345973,0.2694395236871993,0.10034994072288395,0.030630951504786213,0.007104905496078168
41,42,0.9972897879831951,[0.82051356],0.6223500000000001,0.31575,0.13205000000000003,0.045500000000000006,0.01195,0.575183639246413,0.2627286141035775,0.09751335403223033,0.02989542386172714,0.007177176201619059
42,43,0.9934631664398133,[0.82085548],0.6184500000000002,0.31625,0.13195000000000004,0.04449999999999999,0.011799999999999998,0.5812850677172788,0.2672365213409716,0.09754798723809095,0.027552892146558317,0.0063121226474141204
43,44,1.0107732361758444,[0.83315985],0.6245,0.3222499999999999,0.1352,0.04604999999999998,0.012599999999999995,0.5796132138354778,0.2681768013894942,0.1004561796865997,0.02950529450706686,0.007294870190715155
44,45,0.9971351197625831,[0.80504093],0.6182000000000001,0.31565,0.13285000000000002,0.04539999999999999,0.012250000000000004,0.5740121077620856,0.2617705980176993,0.09351318368180733,0.02681865112819485,0.005970495724997827
45,46,1.0063253912294448,[0.81861664],0.61675,0.3183500000000001,0.13619999999999996,0.04625,0.012799999999999994,0.5746311607224385,0.26479070104016617,0.09876537647050661,0.028448840949254817,0.006346079376441473
46,47,1.0004050731183687,[0.83153752],0.6183499999999998,0.31860000000000005,0.13435000000000002,0.04505,0.01135,0.5828489105358909,0.2673796351668561,0.09906794819098311,0.028723808117348516,0.00747534980648798
47,48,1.0026094851553875,[0.81028755],0.6179000000000002,0.3194000000000001,0.13369999999999999,0.044250000000000005,0.012100000000000001,0.5796307891869799,0.2658189647711605,0.09357076731858271,0.026060885356309196,0.006099004061069555
48,49,0.9976127129485954,[0.82363738],0.6173000000000001,0.3147500000000001,0.13510000000000003,0.04509999999999997,0.012199999999999994,0.5807180818171459,0.2670494977185006,0.0958347583814409,0.029431365567150158,0.006840715541175102
49,50,1.0005416019729667,[0.82331092],0.6182500000000003,0.31829999999999997,0.13364999999999994,0.04420000000000002,0.012450000000000001,0.5785200214918667,0.2662959760710213,0.09740331562878181,0.027814942299971987,0.007687892195656549
50,51,1.0060403578001074,[0.81448084],0.6103000000000002,0.317,0.13814999999999997,0.04705000000000001,0.012350000000000003,0.5745137918583324,0.2641109685367678,0.09757220849650829,0.02786817024983133,0.00640009189157091
51,52,0.9940671492836823,[0.80580901],0.6154999999999998,0.31934999999999997,0.13455000000000003,0.0429,0.012849999999999993,0.571334526976277,0.26325005778597854,0.09529197213253186,0.026155993243708466,0.006713546435448434
52,53,0.9979417874207059,[0.81067207],0.6196000000000002,0.31745,0.13259999999999997,0.044800000000000006,0.012199999999999999,0.5745053236423676,0.26183521560947026,0.09401494971536362,0.02754339409472291,0.006671108441264085
53,54,0.9968898646653188,[0.81998091],0.6142499999999999,0.31469999999999987,0.1344,0.045199999999999976,0.012499999999999997,0.5753246697014486,0.2648908847926262,0.09742913401317749,0.028753925329004067,0.006799208671386467
54,55,0.9910392665236865,[0.81186554],0.6183000000000001,0.31275,0.13379999999999995,0.04484999999999997,0.011200000000000002,0.5743491765006472,0.26200473281013387,0.09599735226483488,0.02761308944233711,0.006427280230886139
55,56,0.9988536169206347,[0.80255715],0.61865,0.31494999999999995,0.13134999999999997,0.04634999999999999,0.012549999999999997,0.5754959103764808,0.2593828243429865,0.09188055409070689,0.028054768365516698,0.006296931175393284
56,57,0.9858081143920668,[0.79702397],0.6153000000000002,0.31599999999999995,0.1283,0.04249999999999999,0.011949999999999999,0.5697593889785127,0.2611100912472949,0.09141223805331376,0.02593361794768811,0.006210739974239179
57,58,0.9998708263894884,[0.80364393],0.6200500000000004,0.31775,0.1349,0.044599999999999994,0.012449999999999994,0.5753228871936881,0.26365541706644535,0.09369080737232478,0.026158618736399776,0.005495818712312817
58,59,0.9968046897841838,[0.81129684],0.6186,0.31620000000000004,0.1315499999999999,0.04575,0.012349999999999998,0.5750918270696935,0.26326638335295877,0.09564025730338399,0.027256590350378116,0.0061284301787086215
59,60,1.0029970768887428,[0.82078782],0.62225,0.31655000000000005,0.13389999999999996,0.04509999999999999,0.0123,0.5829131594007879,0.2674996805349423,0.09640048020669807,0.02838409093953519,0.005980118825347683
60,61,1.001272229951158,[0.80904335],0.62175,0.32234999999999997,0.13439999999999994,0.044950000000000004,0.011899999999999999,0.5775538707590535,0.2636476434349686,0.09572814850094571,0.026035348413214362,0.006175697855624173
61,62,0.9817051484334285,[0.81080236],0.6132500000000001,0.3134999999999999,0.1307,0.043549999999999985,0.01245,0.5757330359890127,0.2635705770429746,0.09402147488938936,0.02735541565761011,0.006591384270004672
62,63,1.0011610706120166,[0.80170536],0.6140000000000001,0.3174499999999999,0.13429999999999997,0.04594999999999999,0.012949999999999996,0.5678933313923615,0.25932960417402756,0.09421660911187485,0.026916869278047133,0.006602491315422646
63,64,0.9856523188295939,[0.79399857],0.6080499999999998,0.31195000000000006,0.13169999999999996,0.04544999999999999,0.01155,0.5680157337331861,0.2570677145082441,0.09246242985272315,0.027038062825597974,0.005985067093083719
64,65,1.0014756301221839,[0.80690649],0.6147000000000002,0.31254999999999994,0.13709999999999997,0.04729999999999999,0.011949999999999999,0.5704849559991079,0.26166856966791124,0.0969430190875698,0.027315521670311073,0.006268218948674055
65,66,1.0075395899949837,[0.82489277],0.6183000000000001,0.3164,0.13635000000000003,0.04635000000000001,0.013349999999999997,0.5750394086607793,0.26510102869048807,0.09927283466760864,0.029474969276867623,0.007034236579903261
66,67,1.008808192529107,[0.81529459],0.6180999999999998,0.31719999999999987,0.13385,0.046349999999999995,0.01425,0.5750245889474221,0.2626818871585983,0.09603393620114488,0.02828842563505727,0.007032349678117206
67,68,1.0015902471416935,[0.81089528],0.6166499999999998,0.31915000000000004,0.1367,0.04710000000000001,0.012,0.5759003429036563,0.2631048731052933,0.09673880976449745,0.027645860475327043,0.00575499331882061
68,69,1.0007068186277612,[0.80979005],0.6147000000000001,0.31845,0.13355000000000003,0.04579999999999998,0.0121,0.5722682854228219,0.2623288111056906,0.09538080663760376,0.028187146717808878,0.006405172651976506
69,70,0.9832394516669019,[0.79274469],0.6102000000000001,0.31315000000000004,0.12995000000000004,0.04219999999999998,0.013149999999999997,0.5721975656439348,0.25661693931776586,0.0904545729144348,0.02574534203264411,0.006391150326134339
70,71,0.98413593642405,[0.79737643],0.6143000000000002,0.3141500000000001,0.1301,0.044749999999999984,0.01205,0.5740479593934782,0.25872248357200933,0.0909865805107261,0.02715618677591187,0.0062422866932349405
71,72,0.9844127036375238,[0.79768575],0.6091500000000001,0.31074999999999997,0.13145,0.0435,0.011649999999999999,0.5714037398441794,0.25931150626861466,0.09328172385832209,0.025267469634498475,0.005959673614998218
72,73,1.0004510121023027,[0.79877812],0.6220499999999999,0.31959999999999994,0.13149999999999992,0.043699999999999975,0.012799999999999999,0.5737415201641853,0.26074313100730784,0.09156742250642402,0.025948316301197427,0.006596972973865829
73,74,0.9749700052523074,[0.78284615],0.6106999999999999,0.3095,0.13004999999999992,0.044050000000000006,0.011200000000000003,0.5660211600219219,0.25461665266844385,0.09007767837409174,0.025453968155506327,0.005303533023033474
74,75,0.9891932574671785,[0.80453861],0.6191500000000001,0.31210000000000004,0.13104999999999997,0.044899999999999995,0.0115,0.5764855395851355,0.26188387326971385,0.09239264189294723,0.027576026766046202,0.006163829198644349
75,76,1.0058588561805177,[0.80216172],0.61545,0.31420000000000003,0.13390000000000002,0.047650000000000005,0.012699999999999998,0.5727799363163918,0.2612625303665903,0.09474389200216256,0.027362960573040895,0.00535441695514571
76,77,0.9830172105762043,[0.79326168],0.6172,0.3118000000000001,0.13084999999999997,0.0437,0.011549999999999998,0.5698635945252049,0.25916295980536375,0.09172600561281648,0.02603109451690341,0.006130406373876398
77,78,0.9771085269444406,[0.78562537],0.6203000000000002,0.31204999999999994,0.12759999999999994,0.04164999999999997,0.011300000000000001,0.575076843460637,0.25768451233267914,0.08948232993158815,0.02440097319664227,0.005206332214773997
78,79,1.0085012867027372,[0.80702073],0.6219499999999999,0.3217500000000001,0.13294999999999996,0.04559999999999999,0.012449999999999996,0.5742272195931242,0.2614161534242905,0.0948446626937968,0.027063337589352227,0.006335188465307688
79,80,1.0030630218289476,[0.82111627],0.6157,0.3172499999999999,0.13434999999999997,0.0452,0.013649999999999997,0.5775407285929556,0.26683561340784057,0.09699658695714146,0.02797554095967777,0.0067268913977262855
80,81,0.9887671975457328,[0.80319077],0.6151999999999999,0.31579999999999986,0.12999999999999998,0.044149999999999974,0.011600000000000001,0.572437633474571,0.26129884353778726,0.09328459379968171,0.02686113784009527,0.00644579452315205
81,82,1.003913994778667,[0.81258698],0.6175999999999998,0.32145,0.13565000000000002,0.04594999999999998,0.012049999999999996,0.5788799423044411,0.2653800302224083,0.09546877863763457,0.026939428978745815,0.006088191207564038
82,83,1.001259307323475,[0.81344804],0.6185999999999999,0.31240000000000007,0.13384999999999997,0.045599999999999995,0.013399999999999997,0.5727336650316647,0.25986515370145036,0.09539130415193671,0.029631948310542274,0.0072903347868246305
83,84,1.0144690913684893,[0.811362],0.622,0.3213999999999999,0.13604999999999998,0.04575,0.013399999999999997,0.5756410938292537,0.26337422738814487,0.0950087956147309,0.02754287172657257,0.00645969258955842
