,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,1.003358881188398,[1.62194782],0.6164,0.3165,0.13249999999999998,0.04630000000000001,0.014300000000000007,0.7080932710028274,0.45555402329575034,0.2569106566985213,0.1250150030814244,0.04173102672828842
1,2,1.0144932494436147,[1.4505218],0.6261000000000001,0.3217,0.13820000000000002,0.04540000000000001,0.013600000000000004,0.7054626042752574,0.43914140274210933,0.2320307102188254,0.09371424354588795,0.0265381096771098
2,3,0.9971617916904213,[1.3361644],0.615,0.3156,0.13470000000000001,0.04510000000000001,0.011700000000000006,0.6798387911745581,0.4048593141036031,0.20783115375091638,0.07763820552056246,0.021425111562796615
3,4,0.9674800683402387,[1.22698538],0.6176999999999999,0.3127,0.1254,0.04130000000000002,0.010500000000000002,0.6791093066763015,0.39614171220953087,0.1832072999083311,0.062100694484615096,0.01513943477400947
4,5,1.0056309696918064,[1.20189075],0.6113000000000001,0.32239999999999996,0.1373,0.04750000000000002,0.012500000000000002,0.6625917878426049,0.3817128301595533,0.18057166966240684,0.059697902841495586,0.016971756243178576
5,6,0.9778190278507127,[1.12234259],0.6194999999999998,0.3106,0.12980000000000005,0.04250000000000002,0.0118,0.6621552098311414,0.3698732761421134,0.16413681197042224,0.050489062911962715,0.011657476989241173
6,7,0.9861787196788621,[1.14844575],0.6153,0.3127,0.1343,0.04170000000000001,0.012100000000000005,0.6600889324690138,0.3680776367646742,0.16641206385470747,0.055064019816024865,0.014806758260951295
7,8,0.9997037703442674,[1.08158144],0.614,0.3195,0.13389999999999996,0.04360000000000001,0.012400000000000003,0.6493229090093404,0.3580014388874037,0.15896086235157786,0.04557451940542111,0.009201570275409774
8,9,0.9793309471928439,[1.03597975],0.6194999999999999,0.30979999999999996,0.1325,0.043000000000000003,0.010600000000000002,0.6356147033079869,0.33867650959657924,0.14694977794989095,0.04431373558969358,0.009296269487989279
9,10,1.0015047125246384,[1.05472677],0.6192,0.3195,0.1327,0.04490000000000001,0.013000000000000003,0.6473162984277675,0.34453110377540247,0.1403046667666867,0.04696565032922799,0.011949531923519347
10,11,1.0151108504096398,[1.02204007],0.6208,0.3216,0.13440000000000002,0.04850000000000001,0.011900000000000004,0.6386881474424634,0.3379504744634496,0.13804538594042126,0.04268971944192895,0.008629302000190964
11,12,0.9961245695019034,[0.98530875],0.6133000000000001,0.31609999999999994,0.1337,0.04490000000000001,0.012500000000000002,0.6202815028548654,0.3245631577905609,0.13181823443801743,0.03874295242015194,0.009934993686933567
12,13,1.0090905555571181,[0.97712109],0.6205999999999998,0.3209999999999999,0.13840000000000002,0.04550000000000001,0.011400000000000004,0.6238151696398224,0.32147792597645597,0.12892036691642977,0.0401180767960533,0.009063304654610502
13,14,1.0051347251181832,[0.962931],0.6251,0.31909999999999994,0.13310000000000002,0.046500000000000014,0.012100000000000003,0.627144134907798,0.3191828102845921,0.12568023524900102,0.03659808963068885,0.007572181256335017
14,15,1.011176753227971,[1.00303692],0.6182,0.32020000000000004,0.1348,0.04790000000000002,0.012800000000000002,0.62452245826201,0.32775209717300546,0.1335289166273209,0.04217331633504961,0.010770202027786936
15,16,1.0339231079893856,[0.9694547],0.6282,0.32389999999999997,0.1381,0.050400000000000014,0.0122,0.6200127009087645,0.31277597428635795,0.13001472298040379,0.04053422910368078,0.00830634496961347
16,17,1.0037455480218198,[0.93184687],0.6196,0.31909999999999994,0.1351,0.04500000000000001,0.014100000000000001,0.6114640357610046,0.30624909312508264,0.11983565814050243,0.0355007749783693,0.009348231309517093
17,18,1.0172640009678173,[0.90907601],0.6242,0.32299999999999995,0.1381,0.04830000000000001,0.011800000000000003,0.6106276336407612,0.30103022241858446,0.11618281390442602,0.03202510472845772,0.0070987811758341885
18,19,0.979356232484022,[0.8778608],0.6157,0.3115,0.12710000000000002,0.04250000000000002,0.012300000000000002,0.6003828427992086,0.28525308500365504,0.10689115959482454,0.03256192661857597,0.008029450321975589
19,20,0.9877518908640474,[0.89137397],0.6155999999999999,0.31399999999999995,0.1314,0.04420000000000001,0.012300000000000002,0.5996872417604978,0.2954268372530968,0.11296049955405665,0.03177027780286451,0.006646664170360729
20,21,0.987528278424613,[0.8764216],0.6171,0.3193,0.1306,0.04140000000000001,0.0115,0.6001884442302511,0.29231134525646196,0.1060531926515185,0.031345951883143514,0.006849353015422247
21,22,1.006435200755117,[0.88579782],0.6266999999999999,0.32489999999999997,0.1335,0.046000000000000006,0.010700000000000003,0.6029046248560588,0.29764509867833777,0.10984854559899312,0.030746990451689226,0.005766058025468459
22,23,1.0095936109927977,[0.8885792],0.6150999999999999,0.3196,0.1372,0.04450000000000002,0.0134,0.5997352003544659,0.28951565382328937,0.11181194003513843,0.03246674439959586,0.008470088099889913
23,24,0.9992049821262021,[0.88881322],0.6186,0.3173,0.1319,0.046300000000000015,0.012700000000000006,0.6009133879142985,0.29235166993409745,0.106308963531804,0.033323756456136853,0.008830724302839953
24,25,0.9737409946841428,[0.83759775],0.6138000000000001,0.31649999999999995,0.1252,0.043900000000000015,0.011700000000000002,0.5939320932878666,0.27729552634529064,0.09855878003158863,0.029039977564514978,0.0062675983043788035
25,26,1.007192459378802,[0.84998107],0.6176999999999999,0.32349999999999995,0.1336,0.04510000000000002,0.011900000000000003,0.5933343754425509,0.2837625229564993,0.09950349064400996,0.029347719932221784,0.006274790828191962
26,27,0.991881891536144,[0.8433063],0.6166000000000001,0.31220000000000003,0.1328,0.04550000000000002,0.0126,0.5840755474943435,0.2721244651504959,0.10179274685446164,0.0305082978211318,0.007404168344149713
27,28,1.012634594964561,[0.84838068],0.6141,0.32389999999999997,0.1372,0.04500000000000002,0.012500000000000002,0.5889168987738984,0.27867812924736735,0.10318324708983254,0.028483232755510297,0.006556759224737106
