,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,1.02606345,[1.2322564],0.62,0.3305,0.12875,0.05025,0.01575,0.692870822,0.401696395,0.176525607,0.060994975,0.016965002
1,2,0.978831072,[1.1840993],0.615,0.31275,0.13,0.04,0.012,0.678922477,0.381227271,0.173884914,0.05883187,0.014960672
2,3,1.010185494,[1.01733125],0.62475,0.3205,0.1385,0.04575,0.0115,0.642619435,0.339392032,0.137036088,0.042494083,0.008696868
3,4,1.008924127,[1.11793954],0.615,0.3175,0.13225,0.04775,0.0135,0.641310516,0.333759058,0.142727787,0.054666224,0.021118449
4,5,1.036043808,[1.031534],0.61925,0.33125,0.14275,0.04825,0.0125,0.647437711,0.332731283,0.137136339,0.046950237,0.011616869
5,6,1.056659652,[0.93769287],0.62225,0.3325,0.149,0.05075,0.01575,0.633479837,0.307628343,0.118322666,0.036732399,0.007766102
6,7,1.002629739,[0.92714507],0.61925,0.32425,0.13325,0.044,0.01125,0.62866477,0.322548467,0.11625767,0.029084162,0.00605653
7,8,0.998850126,[0.90754009],0.60925,0.32375,0.13725,0.0465,0.0095,0.592992057,0.298485731,0.118502384,0.03608043,0.006874607
8,9,1.022512726,[0.92224782],0.62275,0.31975,0.1385,0.04675,0.0135,0.602845727,0.294481244,0.115758107,0.034890404,0.010049918
9,10,1.015055136,[0.9793622],0.6125,0.31775,0.13225,0.047,0.01525,0.588635356,0.287320938,0.113225552,0.040501021,0.015830928
10,11,0.99649847,[0.82973145],0.614,0.31475,0.13225,0.04525,0.0135,0.592070039,0.270252736,0.099745172,0.026466375,0.006496165
11,12,0.964507546,[0.86480619],0.6185,0.30625,0.1235,0.0375,0.0095,0.5827874,0.267098545,0.098654703,0.034080833,0.009950333
12,13,1.007833209,[0.82239672],0.61675,0.31975,0.13675,0.048,0.01175,0.577590725,0.266342193,0.096062286,0.028206902,0.006904374
13,14,1.014795809,[0.90470746],0.61425,0.313,0.142,0.0505,0.01225,0.59129885,0.287859981,0.112563216,0.036714032,0.00973887
14,15,1.016669039,[0.8530193],0.62625,0.32225,0.13725,0.0445,0.012,0.589056946,0.272135841,0.10006355,0.031405615,0.009962263
15,16,0.984159531,[0.8467784],0.62575,0.31725,0.1305,0.04,0.0105,0.571168636,0.263256735,0.100629007,0.031793982,0.009134854
16,17,0.98811443,[0.79239411],0.616,0.3185,0.13225,0.0415,0.00925,0.574017137,0.264150863,0.089851265,0.022970285,0.006074808
17,18,0.98593908,[0.81109381],0.61925,0.318,0.133,0.04425,0.0105,0.582516193,0.276767726,0.092871529,0.024573522,0.004641882
18,19,1.004735748,[0.82478507],0.61975,0.3245,0.13825,0.043,0.01125,0.587285041,0.273207337,0.098871427,0.025762332,0.00554859
19,20,0.945656647,[0.75582821],0.611,0.3085,0.1265,0.036,0.009,0.552450942,0.245424493,0.085283967,0.02363393,0.005230354
20,21,0.962878656,[0.75849411],0.618,0.30575,0.12675,0.04,0.0105,0.56460878,0.243564604,0.08530886,0.023495273,0.005655386
21,22,0.971403204,[0.77125921],0.602,0.31475,0.13,0.04125,0.012,0.565092721,0.250137388,0.085548445,0.024730572,0.006343605
22,23,0.987153141,[0.78029456],0.60975,0.3155,0.12225,0.041,0.014,0.566158098,0.252084325,0.086157002,0.025921467,0.007239069
23,24,1.034033948,[0.84439176],0.6325,0.33025,0.13875,0.049,0.0135,0.582916156,0.267382404,0.100963033,0.031399346,0.008953606
24,25,0.954924867,[0.76780719],0.624,0.303,0.12375,0.043,0.01025,0.563568752,0.248535576,0.087413749,0.024525976,0.004865825
25,26,0.96440211,[0.77131167],0.61575,0.30875,0.13075,0.04075,0.00825,0.559136755,0.249361702,0.086938167,0.024402595,0.005802004
26,27,0.976694544,[0.79278307],0.622,0.315,0.12675,0.0425,0.01225,0.566934415,0.262043626,0.090341711,0.026690555,0.006924976
27,28,0.984875048,[0.81602235],0.617,0.314,0.128,0.04075,0.01175,0.561722686,0.256702161,0.094677545,0.029733695,0.010039366
28,29,0.983556001,[0.84495241],0.61075,0.319,0.1335,0.04275,0.01125,0.571005038,0.267530597,0.103004867,0.032664205,0.009358754
29,30,1.009169204,[0.88469772],0.6145,0.31375,0.13075,0.04875,0.01475,0.572368532,0.256823918,0.099272391,0.034709739,0.011916331
30,31,0.983789049,[0.77625139],0.615,0.30625,0.131,0.04575,0.0115,0.555269684,0.248558895,0.090370626,0.027436654,0.006411683
31,32,1.015259834,[0.80094862],0.61475,0.32175,0.14,0.04825,0.01125,0.570258695,0.262101064,0.096933024,0.025562264,0.004974632
32,33,0.97005702,[0.76761771],0.61675,0.31675,0.12375,0.03975,0.0085,0.554534484,0.251210912,0.084220304,0.024723581,0.006410696
33,34,0.996647515,[0.79504936],0.611,0.3095,0.1305,0.04675,0.01425,0.565200643,0.252473299,0.091544271,0.028176285,0.008128675
34,35,0.979105138,[0.82599885],0.59725,0.31,0.127,0.04625,0.013,0.564513695,0.254650287,0.100381201,0.032458385,0.010048745
35,36,1.018453883,[0.95457726],0.62175,0.31825,0.13425,0.04575,0.01425,0.579028292,0.27351756,0.104877623,0.034973998,0.012641014
36,37,0.990250974,[0.85791412],0.61925,0.3115,0.13675,0.0465,0.0115,0.583664601,0.271477724,0.10320942,0.031825223,0.009675803
37,38,1.018347748,[0.86286747],0.62,0.323,0.1355,0.04725,0.013,0.576812008,0.269744654,0.103035212,0.035158119,0.011365507
38,39,0.983908822,[0.82451177],0.60525,0.313,0.13775,0.042,0.01,0.577285842,0.270319468,0.098274634,0.026690911,0.006597261
39,40,1.029488214,[0.87000298],0.60975,0.32525,0.14275,0.0485,0.0135,0.587322757,0.278739791,0.107285321,0.034074539,0.007848998
40,41,1.023848828,[0.85088199],0.62375,0.32125,0.13975,0.047,0.0135,0.581680274,0.273308099,0.105502252,0.031166653,0.007824387
41,42,1.008253589,[0.87436737],0.623,0.31975,0.13325,0.0475,0.0105,0.58887021,0.274724373,0.103301398,0.032753262,0.008444215
42,43,1.00218102,[0.82233888],0.61475,0.31125,0.1335,0.0445,0.01375,0.577270078,0.263908753,0.094371432,0.027781067,0.008228789
43,44,1.003019397,[0.86804737],0.62125,0.317,0.13225,0.044,0.01375,0.57271336,0.269188327,0.105670703,0.036482344,0.011175224
44,45,0.965414337,[0.81711358],0.6115,0.31025,0.12525,0.04225,0.01025,0.582470346,0.26868984,0.097326507,0.028452569,0.004992708
45,46,1.01298191,[0.87883574],0.6195,0.32675,0.1395,0.045,0.01225,0.579517393,0.278423431,0.107861042,0.035540442,0.008430775
46,47,1.005788924,[0.87826772],0.6095,0.316,0.133,0.04475,0.014,0.580274855,0.273689251,0.107853707,0.035764444,0.011018029
47,48,0.963745016,[1.21895438],0.60975,0.308,0.1205,0.04225,0.01225,0.583988462,0.27672573,0.108715671,0.037571939,0.012958294
48,49,1.004454444,[0.86439961],0.61025,0.318,0.13225,0.04525,0.01425,0.584090756,0.275436506,0.104098401,0.034162988,0.009775157
49,50,0.961723219,[0.8407524],0.6075,0.3155,0.12425,0.03925,0.01175,0.576923752,0.279170291,0.106132846,0.029390625,0.004545062
50,51,1.027160807,[0.87821219],0.6155,0.319,0.141,0.0495,0.01675,0.589376984,0.279559141,0.107065367,0.03518335,0.009504054
51,52,0.976055668,[0.90599344],0.6055,0.30975,0.13075,0.042,0.012,0.584202022,0.276902067,0.109795413,0.036382676,0.013398183
52,53,1.044511292,[0.95140424],0.6225,0.32425,0.1415,0.05175,0.01475,0.594497214,0.292213796,0.120426883,0.041649455,0.013338876
53,54,1.019087609,[1.00253815],0.62025,0.31675,0.136,0.046,0.015,0.594144047,0.283323794,0.11774254,0.041001196,0.013267911
54,55,0.979735513,[0.94564612],0.61425,0.3115,0.133,0.04325,0.0125,0.590955683,0.289413256,0.121556845,0.041992216,0.011563494
55,56,1.013451954,[0.99058059],0.61975,0.32375,0.13725,0.0475,0.01225,0.606515552,0.30434501,0.124585019,0.044305148,0.013658378
56,57,1.026823869,[0.95744858],0.62175,0.32,0.1365,0.0525,0.01375,0.593541922,0.291736339,0.125717283,0.046142563,0.013364132
57,58,0.962917524,[0.9610367],0.60475,0.313,0.13425,0.03925,0.009,0.591840142,0.287722497,0.116398911,0.040371832,0.014145183
58,59,0.9913707,[0.95996214],0.6105,0.3065,0.13125,0.0435,0.0155,0.598328545,0.291139759,0.119091087,0.044042647,0.015519217
59,60,0.9881973,[0.8600037],0.618,0.3205,0.13475,0.042,0.012,0.583490086,0.280740055,0.105272381,0.029928217,0.008323443
60,61,0.961176937,[0.97319565],0.61175,0.31075,0.129,0.03875,0.01025,0.595630169,0.294893327,0.120111845,0.0425868,0.015453415
61,62,0.981122235,[0.94296323],0.63425,0.317,0.123,0.04175,0.01,0.600392331,0.289707808,0.112191951,0.040436399,0.013008737
62,63,1.035186992,[0.96447403],0.61825,0.31775,0.146,0.04775,0.0125,0.600776502,0.298665071,0.123902621,0.045373845,0.014814959
63,64,1.013026985,[1.03639778],0.62725,0.3255,0.13775,0.04575,0.01075,0.60490222,0.311000251,0.134003603,0.048372071,0.01330887
64,65,1.044284934,[1.03951014],0.617,0.32775,0.13925,0.0495,0.01525,0.610722123,0.315188069,0.134487916,0.052018917,0.016756251
65,66,1.008749921,[1.16046832],0.61125,0.3105,0.135,0.05075,0.01275,0.60833165,0.310757919,0.133230902,0.052424971,0.02032228
66,67,0.995137767,[0.94189047],0.608,0.31275,0.13525,0.047,0.01275,0.602483868,0.300062257,0.122364168,0.040150925,0.011673487
67,68,1.043662109,[1.17186542],0.62175,0.327,0.14175,0.05025,0.01625,0.61636692,0.316856929,0.137142054,0.054691082,0.020380506
68,69,1.004221366,[1.0329379],0.62625,0.31525,0.13075,0.0435,0.01275,0.614810503,0.318388372,0.132270531,0.048708574,0.016239251
69,70,1.028146162,[1.03924592],0.60925,0.3235,0.1365,0.0485,0.0145,0.61783261,0.321319995,0.137609818,0.050300588,0.015651743
70,71,0.972119543,[0.98512668],0.609,0.30475,0.12725,0.041,0.013,0.603826848,0.300697924,0.121080623,0.045586547,0.015187282
71,72,0.986780926,[1.05543958],0.6145,0.30975,0.123,0.04675,0.01575,0.602008175,0.30650358,0.13331542,0.05346836,0.018110091
72,73,1.013562714,[1.07905981],0.6195,0.32275,0.133,0.04725,0.0135,0.617927194,0.31670758,0.140615179,0.054471661,0.019480071
73,74,1.005318559,[0.99287385],0.63225,0.3305,0.1325,0.04325,0.0105,0.601105203,0.306943245,0.129234899,0.048310099,0.015736412
74,75,0.97194257,[0.99742417],0.611,0.3085,0.12625,0.04225,0.01125,0.599858492,0.305231337,0.127320324,0.044175914,0.014575415
75,76,0.980293504,[1.01030063],0.62425,0.32025,0.127,0.041,0.009,0.606537176,0.30733043,0.127376756,0.046348226,0.017505486
76,77,1.004442784,[1.17595561],0.61275,0.31825,0.135,0.04825,0.01375,0.615522754,0.323479793,0.147157505,0.060833939,0.025373195
77,78,1.037734947,[1.15185043],0.61925,0.31775,0.145,0.05275,0.0155,0.632961468,0.340293314,0.158077135,0.060864692,0.023186348
78,79,0.972224613,[1.04502017],0.613,0.30775,0.13225,0.0435,0.011,0.61309396,0.317932856,0.145832351,0.05682709,0.015622634
79,80,1.029752547,[1.0931489],0.6325,0.333,0.14125,0.04475,0.01175,0.6183831,0.321480674,0.139412967,0.054453225,0.020681181
80,81,1.055801192,[1.13017267],0.614,0.32375,0.14525,0.05475,0.0175,0.627443858,0.331353143,0.151007206,0.063987642,0.023550593
81,82,0.962770353,[1.1216558],0.6075,0.3075,0.12675,0.04,0.0135,0.613773532,0.322988574,0.140340804,0.057606515,0.024555412
82,83,0.982502746,[1.15927864],0.6125,0.31275,0.1355,0.0405,0.01025,0.624907362,0.33399788,0.151714006,0.058955457,0.022586128
83,84,0.97225574,[1.03415394],0.624,0.311,0.1275,0.0395,0.011,0.617371777,0.316696437,0.137336037,0.051097266,0.016093774
