,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,1.012312971,[1.06046969],0.71125,0.4235,0.13875,0,0,0.747226712,0.457748201,0.133266266,0,0
1,2,1.019408679,[0.99722069],0.7225,0.43125,0.1395,0,0,0.731213729,0.436449502,0.11279597,0,0
2,3,0.969474565,[0.90663377],0.7055,0.4055,0.122,0,0,0.703929115,0.394611198,0.081801042,0,0
3,4,1.026028078,[0.91302408],0.72,0.4305,0.14775,0,0,0.705627204,0.397947536,0.087554968,0,0
4,5,1.001803795,[0.85243249],0.7075,0.42575,0.13825,0,0,0.693891049,0.370926877,0.067872641,0,0
5,6,0.973299546,[0.82975237],0.7095,0.40775,0.12825,0,0,0.683830542,0.357110983,0.062757898,0,0
6,7,0.998710777,[0.82154746],0.71825,0.42375,0.12825,0,0,0.68804155,0.350128375,0.062187323,0,0
7,8,0.985413919,[0.78520423],0.7065,0.41225,0.131,0,0,0.664324091,0.322505907,0.06241333,0,0
8,9,1.006601719,[0.80874479],0.712,0.42525,0.136,0,0,0.664336228,0.34317681,0.064311696,0.000314805,0
9,10,1.012109521,[0.80330532],0.72325,0.43275,0.133,0,0,0.677794914,0.337350019,0.058987661,0.0003025,0
10,11,1.006670238,[0.78641676],0.70875,0.4215,0.139,0,0,0.657720436,0.326340411,0.061730277,0.000395201,0
11,12,1.002686126,[0.79419154],0.711,0.42825,0.13325,0,0,0.661388752,0.331281779,0.063132754,7.27E-05,0
12,13,1.00075584,[0.77073897],0.724,0.4265,0.13225,0,0,0.663405525,0.318308256,0.054687546,0.000320513,0
13,14,1.003417089,[0.76992809],0.711,0.422,0.1325,0,0,0.652603974,0.319833654,0.054441279,0,0
14,15,1.003984484,[0.76684061],0.7095,0.42475,0.136,0,0,0.651972893,0.313833688,0.057576527,0.001533053,0
15,16,0.995471375,[0.75721512],0.70725,0.41625,0.13225,0,0,0.640979101,0.309221277,0.060272532,0.001082765,0
16,17,0.977059316,[0.75278177],0.7115,0.413,0.13,0,0,0.644539388,0.300155576,0.058014767,0.001824909,0
17,18,0.988093874,[0.74753886],0.70825,0.41725,0.135,0,0,0.633739577,0.298604433,0.060373479,0.001352046,0
18,19,0.976890692,[0.7416028],0.70575,0.41075,0.126,0,0,0.631518546,0.29720988,0.056647646,0.000691324,0
19,20,0.97616225,[0.74973214],0.6965,0.40975,0.1305,0,0,0.627407218,0.303487155,0.062002545,0.001993973,0
20,21,1.002186198,[0.7787146],0.7135,0.42275,0.13175,0,0,0.636009579,0.313890613,0.066898468,0.003528764,0
21,22,1.017823582,[0.76085643],0.726,0.42825,0.14025,0,0,0.632860618,0.302101678,0.064598154,0.00246151,0
22,23,1.018995642,[0.76721241],0.71525,0.42525,0.1425,0,0,0.640841174,0.301353805,0.066033732,0.003215273,0.000397099
23,24,1.014505707,[0.77483275],0.71725,0.42975,0.13475,0,0,0.639771658,0.307999657,0.066512354,0.004069933,0.000585904
24,25,1.02292707,[0.76146854],0.71925,0.43325,0.14125,0,0,0.628811517,0.297864744,0.067870608,0.004644417,0.000163983
25,26,0.986254023,[0.74161961],0.71025,0.41225,0.13225,0,0,0.621727481,0.288105176,0.062532438,0.003789321,0.000384422
26,27,0.977804115,[0.75390873],0.704,0.412,0.123,0,0,0.621701094,0.293518035,0.064717307,0.005673774,0
27,28,1.011060798,[0.79209394],0.7195,0.42875,0.136,0,0,0.628655128,0.310860886,0.076624743,0.006254736,4.80E-05
28,29,1.011662765,[0.78951012],0.713,0.4275,0.13875,0,0,0.639060658,0.307351249,0.070811963,0.007480138,0.000772626
29,30,1.009857073,[0.7653718],0.72325,0.4255,0.1355,0,0,0.630094562,0.298867004,0.066513471,0.005665109,0.000535154
30,31,0.997266577,[0.80484297],0.71725,0.42275,0.1315,0,0,0.636589478,0.309195592,0.077501346,0.009762167,0.001492677
31,32,1.014827169,[0.80952092],0.71275,0.4245,0.14775,0,0,0.639377534,0.311656706,0.08038991,0.009106436,0.00035532
32,33,1.008109356,[0.80055975],0.703,0.42925,0.13425,0,0,0.625780808,0.306172409,0.077681785,0.011180509,0.00114783
33,34,0.982460477,[0.77195313],0.70525,0.41275,0.1275,0,0,0.617451424,0.290771572,0.073335442,0.009345656,0.001147746
34,35,1.000344438,[0.79951859],0.72025,0.4255,0.132,0,0,0.629603444,0.300598478,0.078807778,0.011778512,0.000813284
35,36,0.989165393,[0.76118763],0.71175,0.4155,0.13,0,0,0.615493308,0.288620882,0.071705828,0.007026653,0.000460062
36,37,0.974492121,[0.79555303],0.7015,0.40875,0.127,0,0,0.621523786,0.300164065,0.081494377,0.010000442,0.000586524
37,38,1.009477676,[0.83015946],0.70525,0.432,0.14025,0,0,0.629141535,0.316925447,0.091997729,0.011186206,0.000548661
38,39,1.010571711,[0.80835105],0.71025,0.4315,0.13675,0,0,0.625610744,0.306058855,0.082665161,0.011177378,0.001648575
39,40,0.988983466,[0.81793856],0.70475,0.4135,0.134,0,0,0.626889384,0.303404446,0.083223063,0.01406571,0.002687675
40,41,1.017915154,[0.82449489],0.726,0.43275,0.13925,0,0,0.633139669,0.316765612,0.086171544,0.010578598,0.00118016
41,42,1.015451163,[0.81986326],0.7205,0.428,0.13875,0,0,0.622194142,0.305093423,0.087777767,0.014682788,0.001202875
42,43,1.005193678,[0.83982674],0.717,0.42575,0.137,0,0,0.62668041,0.304551817,0.090491907,0.018485117,0.003845706
43,44,1.005840468,[0.85003082],0.7145,0.4245,0.14075,0,0,0.628064466,0.31248884,0.090391008,0.019472089,0.0037107
44,45,0.999913838,[0.87433672],0.6955,0.4175,0.1365,0,0,0.634203667,0.318275272,0.098275301,0.020584053,0.002913175
45,46,0.997467337,[0.85041999],0.70625,0.4255,0.12775,0,0,0.630929713,0.314626614,0.094289801,0.017563821,0.000920865
46,47,1.015891575,[0.87628642],0.70925,0.42875,0.142,0,0,0.63994876,0.323662607,0.098036546,0.01888048,0.002854613
47,48,0.980401202,[0.82220029],0.70525,0.4075,0.13125,0,0,0.624431836,0.302500398,0.09020789,0.013345556,0.00121271
48,49,1.005586655,[0.8885209],0.71075,0.426,0.14175,0,0,0.638468538,0.326404754,0.101032729,0.02236187,0.003703696
49,50,0.985260118,[0.86377656],0.713,0.4135,0.13,0,0,0.629538848,0.308168634,0.099489523,0.020297564,0.00368039
50,51,0.970126325,[0.85040971],0.70025,0.40825,0.12675,0,0,0.627237886,0.308048459,0.094004573,0.018749611,0.002559906
51,52,1.024573537,[0.86840866],0.71625,0.445,0.13525,0,0,0.631175449,0.317388209,0.09856797,0.019627449,0.002379267
52,53,0.992715577,[0.83930753],0.704,0.42075,0.13675,0,0,0.622378022,0.304339936,0.093646087,0.018334577,0.002710508
53,54,0.989615237,[0.88819401],0.7145,0.41875,0.13,0,0,0.638642426,0.323226565,0.103131694,0.0223319,0.002432362
54,55,1.011078335,[0.91592774],0.72275,0.429,0.13775,0,0,0.636435051,0.325853271,0.111545956,0.027433206,0.004353995
55,56,1.017042398,[0.90102333],0.72375,0.4265,0.13875,0,0,0.639870435,0.325306558,0.106793428,0.023921554,0.002612816
56,57,0.99285318,[0.9000971],0.71475,0.42075,0.13275,0,0,0.636051369,0.323938745,0.108979532,0.024062353,0.003493483
57,58,1.008560877,[0.91718105],0.713,0.4225,0.1385,0,0,0.639065139,0.327889805,0.110332699,0.025169968,0.004951472
58,59,1.01230765,[0.92927486],0.72,0.42775,0.13325,0,0,0.64251817,0.328797011,0.112024868,0.026936285,0.005610065
59,60,1.010409751,[0.92128477],0.724,0.4325,0.12825,0,0,0.642559906,0.327988441,0.109778149,0.026404778,0.004542416
60,61,0.994500988,[0.9302221],0.708,0.41825,0.1325,0,0,0.642342156,0.333360462,0.115706896,0.026067512,0.004063376
61,62,1.000916994,[0.94410596],0.7125,0.42575,0.13425,0,0,0.638909869,0.33085377,0.116589623,0.030478105,0.006668223
62,63,0.990221907,[0.90120065],0.715,0.41425,0.13025,0,0,0.645517593,0.322472341,0.104597957,0.024196039,0.003496078
63,64,0.975788043,[0.91157042],0.709,0.4045,0.1265,0,0,0.638457075,0.325686384,0.109943734,0.023934098,0.003959653
64,65,0.992166515,[0.96486925],0.70625,0.42,0.13,0,0,0.646408119,0.340512567,0.123457825,0.031095484,0.005727725
65,66,0.986385887,[0.96759781],0.7095,0.4195,0.1285,0,0,0.645109476,0.33960223,0.122780217,0.032132401,0.005781669
66,67,0.996132706,[0.93400173],0.713,0.41975,0.12925,0,0,0.63841992,0.330001604,0.115912636,0.028203139,0.005385801
67,68,1.035075321,[0.99194472],0.72075,0.432,0.14625,0,0,0.649986024,0.344859709,0.129045403,0.034576107,0.007705566
