,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
0,1,0.995753221,[0.94753755],0.61375,0.31875,0.13125,0.04775,0.01275,0.619842223,0.311295438,0.127004263,0.040451197,0.005810756
1,2,0.970363235,[0.81068002],0.605,0.31575,0.1295,0.0405,0.0095,0.575243549,0.277920563,0.092553042,0.023942787,0.005271671
2,3,0.966261259,[0.81125645],0.6185,0.30225,0.1285,0.0455,0.01075,0.583221277,0.254494614,0.094571094,0.028238845,0.007378898
3,4,1.006776647,[0.79657491],0.616,0.31925,0.138,0.04575,0.01,0.568624092,0.2604594,0.088441559,0.027083957,0.005004586
4,5,1.023926924,[0.74893079],0.619,0.32175,0.14175,0.04375,0.0145,0.554258692,0.247332656,0.082915051,0.021331049,0.004988843
5,6,0.96409328,[0.7120812],0.61775,0.3135,0.1225,0.0415,0.00875,0.55631101,0.229135066,0.07682235,0.01844753,0.003810314
6,7,1.007887244,[0.7155447],0.609,0.31175,0.1355,0.04975,0.01175,0.538530596,0.231132262,0.078395099,0.020189168,0.004678378
7,8,0.992526382,[0.72485627],0.6165,0.32325,0.13225,0.0435,0.0115,0.551135862,0.242125221,0.073839416,0.022059339,0.004071414
8,9,0.962511953,[0.71159473],0.6145,0.303,0.12175,0.04125,0.01275,0.547176926,0.22394955,0.07314509,0.020683605,0.005456035
9,10,0.990382514,[0.70101368],0.609,0.317,0.1325,0.04425,0.01075,0.548386539,0.232388255,0.073494969,0.016992126,0.002861459
10,11,0.983045558,[0.7072162],0.61975,0.304,0.13075,0.0455,0.01275,0.538969531,0.225161127,0.07878901,0.02071445,0.004137662
11,12,0.996627522,[0.72233218],0.621,0.315,0.1395,0.04675,0.012,0.545491645,0.234239862,0.079818454,0.021462749,0.004809245
12,13,1.028821863,[0.74321939],0.6225,0.32425,0.143,0.04625,0.0135,0.560053567,0.241952341,0.081990332,0.022174764,0.004032633
13,14,0.97796116,[0.7186199],0.617,0.313,0.12975,0.04175,0.01175,0.550319412,0.233596521,0.079559397,0.019686897,0.003304204
14,15,1.018677198,[0.76908135],0.60775,0.31525,0.1395,0.0475,0.0155,0.559403409,0.251423173,0.087635971,0.024532253,0.005090303
15,16,1.029359617,[0.74559435],0.6265,0.32125,0.1415,0.0475,0.01375,0.564856748,0.247144621,0.077011239,0.021193344,0.005439317
16,17,1.011534939,[0.76211883],0.60925,0.318,0.14025,0.04675,0.0115,0.557841135,0.251031831,0.086359311,0.022468053,0.004938041
17,18,1.012126606,[0.76719865],0.622,0.32975,0.1375,0.04625,0.01275,0.56079831,0.254774144,0.086252105,0.023513374,0.005181461
18,19,0.970446044,[0.79030032],0.6085,0.29975,0.12925,0.0465,0.01175,0.567116986,0.256442497,0.089737168,0.025415839,0.006905773
19,20,1.022555134,[0.82145542],0.62075,0.3185,0.1365,0.0455,0.015,0.576346946,0.268769559,0.094555416,0.026534127,0.008393088
20,21,0.958690424,[0.77013524],0.6005,0.306,0.12625,0.045,0.01175,0.557700536,0.255558127,0.091239257,0.023012517,0.004326277
21,22,0.983655119,[0.82968633],0.614,0.309,0.13125,0.0475,0.01125,0.580152478,0.266697883,0.098137822,0.031397477,0.007325686
22,23,1.067528647,[0.82131504],0.623,0.3355,0.148,0.0495,0.016,0.571795764,0.265941475,0.096484419,0.030136268,0.006612987
23,24,1.000357534,[0.81714573],0.60925,0.31675,0.13275,0.04825,0.014,0.571318625,0.266719373,0.092797722,0.027520739,0.007586367
24,25,0.990078394,[0.83909494],0.61375,0.32475,0.13225,0.04375,0.011,0.589110233,0.275315153,0.098416046,0.028172993,0.006569976
25,26,1.006620405,[0.87981212],0.61275,0.32325,0.13075,0.0445,0.01125,0.586526929,0.276619702,0.110243349,0.036025196,0.009704504
26,27,0.962228527,[0.87049687],0.61625,0.3135,0.12425,0.0385,0.01,0.589010618,0.281001009,0.106913487,0.033073665,0.008946544
27,28,0.968347666,[0.90534295],0.61425,0.3115,0.12225,0.0445,0.011,0.589255886,0.273255572,0.109970278,0.039825801,0.012728249
28,29,0.985858032,[0.88765284],0.61425,0.31475,0.132,0.0465,0.01225,0.593355995,0.285823629,0.111021403,0.035956478,0.008614107
29,30,1.004585728,[0.90493385],0.62425,0.32975,0.13075,0.045,0.01125,0.596883531,0.29474495,0.115112921,0.035747113,0.008803502
30,31,0.989481785,[0.94447062],0.61825,0.3135,0.13325,0.04475,0.011,0.599463606,0.302156833,0.124297308,0.041126514,0.009713143
31,32,0.985255355,[0.93367745],0.60725,0.309,0.135,0.04525,0.01175,0.609687936,0.299855402,0.120015056,0.037346134,0.009340598
32,33,0.991397574,[0.99094136],0.61075,0.3125,0.1315,0.045,0.013,0.602182751,0.307255916,0.130849308,0.047064201,0.014119326
33,34,0.983397878,[0.96482701],0.616,0.31275,0.1265,0.046,0.01375,0.61145228,0.303201702,0.125045637,0.04251645,0.013587804
34,35,1.012025309,[1.03429998],0.621,0.32025,0.13025,0.04725,0.01425,0.60749068,0.308497582,0.134024665,0.055013843,0.018939977
35,36,1.008918096,[1.04073213],0.62625,0.32175,0.1315,0.04725,0.01275,0.612631834,0.313421164,0.135443051,0.053107756,0.018437066
